#chr	start	stop
chr1	10009	10614
chr1	11189	11395
chr1	28885	29750
chr1	74071	74553
chr1	369575	369804
chr1	381094	381404
chr1	384763	384927
chr1	385379	385647
chr1	462232	462421
chr1	546769	547171
chr1	547576	547736
chr1	603960	604577
chr1	604705	604897
chr1	705757	705966
chr1	713719	714601
chr1	752755	752945
chr1	762302	763383
chr1	777374	777654
chr1	779536	780068
chr1	805103	805534
chr1	825809	826132
chr1	839837	840253
chr1	894398	894969
chr1	895885	896115
chr1	901734	902471
chr1	911255	911771
chr1	948395	949224
chr1	954629	955546
chr1	968374	968879
chr1	976002	976361
chr1	994654	995289
chr1	999316	999848
chr1	1004090	1005005
chr1	1015089	1015257
chr1	1034358	1035261
chr1	1051253	1052081
chr1	1057486	1057874
chr1	1079565	1079873
chr1	1092865	1093766
chr1	1136434	1137735
chr1	1143453	1143928
chr1	1144137	1144333
chr1	1152189	1152594
chr1	1166795	1167753
chr1	1185472	1185771
chr1	1186096	1186601
chr1	1208970	1209845
chr1	1243329	1244191
chr1	1259793	1260603
chr1	1284994	1285354
chr1	1306727	1307107
chr1	1310373	1311157
chr1	1334439	1335371
chr1	1342281	1343166
chr1	1369346	1369512
chr1	1376274	1376576
chr1	1406599	1407865
chr1	1440224	1441145
chr1	1446887	1447991
chr1	1509677	1510712
chr1	1530399	1531629
chr1	1542610	1542771
chr1	1549770	1551578
chr1	1564988	1566011
chr1	1589992	1591064
chr1	1598267	1598593
chr1	1609240	1609958
chr1	1610046	1610604
chr1	1623788	1625208
chr1	1655470	1656254
chr1	1677088	1678428
chr1	1709633	1710677
chr1	1711709	1712019
chr1	1714329	1714494
chr1	1755435	1755643
chr1	1785803	1785963
chr1	1807495	1807698
chr1	1821486	1823235
chr1	1840019	1841052
chr1	1850438	1851302
chr1	1863596	1863753
chr1	1875508	1875728
chr1	1891406	1891711
chr1	1915256	1915557
chr1	1976211	1976683
chr1	1981456	1982209
chr1	2053098	2053369
chr1	2064457	2065282
chr1	2071295	2071580
chr1	2077896	2078229
chr1	2120882	2121310
chr1	2126035	2126984
chr1	2130630	2130882
chr1	2136210	2137147
chr1	2143986	2144423
chr1	2158915	2159500
chr1	2160504	2160874
chr1	2163327	2163728
chr1	2165926	2166398
chr1	2186847	2187943
chr1	2190063	2190271
chr1	2221845	2222749
chr1	2231734	2232953
chr1	2243037	2243407
chr1	2246345	2246924
chr1	2273268	2273431
chr1	2296983	2297510
chr1	2313296	2313598
chr1	2322577	2323665
chr1	2343670	2344499
chr1	2371845	2372117
chr1	2455195	2455564
chr1	2457513	2458512
chr1	2477470	2478789
chr1	2479692	2480538
chr1	2487158	2488187
chr1	2509140	2510318
chr1	2516844	2517470
chr1	2517651	2518589
chr1	2535151	2535319
chr1	2548589	2548794
chr1	2574025	2574898
chr1	2689088	2689497
chr1	2703144	2703442
chr1	2756664	2757394
chr1	2768577	2768776
chr1	2949734	2950089
chr1	2961205	2961494
chr1	3079520	3079817
chr1	3081625	3081794
chr1	3229632	3229926
chr1	3233214	3233381
chr1	3369806	3370076
chr1	3407726	3408247
chr1	3447303	3448385
chr1	3499991	3500170
chr1	3535329	3536012
chr1	3541014	3542046
chr1	3566250	3567006
chr1	3569050	3569221
chr1	3593428	3593679
chr1	3640965	3641187
chr1	3663706	3664117
chr1	3688636	3689480
chr1	3703963	3704236
chr1	3712642	3713442
chr1	3717911	3718179
chr1	3719754	3719973
chr1	3727238	3727437
chr1	3773339	3774420
chr1	3807651	3807862
chr1	3816542	3818008
chr1	3827394	3827607
chr1	3838839	3839408
chr1	3996377	3996547
chr1	3997363	3997566
chr1	4014348	4014531
chr1	4098652	4098823
chr1	4137488	4137987
chr1	4138146	4138351
chr1	4138637	4138873
chr1	4163564	4164032
chr1	4190369	4190550
chr1	4455178	4455350
chr1	4496267	4496438
chr1	4712776	4713139
chr1	4734805	4735035
chr1	5173910	5174125
chr1	5270622	5270785
chr1	5355358	5355584
chr1	5389255	5389595
chr1	5430804	5430993
chr1	5449091	5449608
chr1	5569929	5570155
chr1	5574450	5574831
chr1	5689452	5689714
chr1	5800094	5800299
chr1	5843734	5843999
chr1	5877094	5877266
chr1	5885569	5885749
chr1	5976181	5976460
chr1	5979893	5980099
chr1	6035402	6035618
chr1	6052031	6052997
chr1	6086074	6086775
chr1	6087162	6087585
chr1	6087932	6088669
chr1	6094661	6094858
chr1	6171332	6171491
chr1	6187805	6187995
chr1	6208757	6208987
chr1	6233218	6233453
chr1	6251384	6251650
chr1	6253457	6253634
chr1	6259230	6260088
chr1	6265410	6265583
chr1	6266070	6266412
chr1	6289260	6289443
chr1	6295445	6296296
chr1	6305237	6305520
chr1	6306735	6307025
chr1	6320029	6320401
chr1	6399905	6400128
chr1	6408139	6409075
chr1	6418881	6419564
chr1	6425047	6425494
chr1	6453076	6454197
chr1	6474537	6474837
chr1	6482450	6482661
chr1	6483662	6483955
chr1	6500347	6500978
chr1	6509300	6509494
chr1	6515060	6515235
chr1	6520042	6520843
chr1	6525555	6526494
chr1	6535649	6535817
chr1	6546627	6546814
chr1	6550070	6550876
chr1	6557696	6557943
chr1	6602367	6602717
chr1	6605538	6605792
chr1	6614028	6614747
chr1	6639723	6640340
chr1	6661050	6661897
chr1	6662328	6663893
chr1	6673012	6674095
chr1	6684879	6685731
chr1	6706724	6706980
chr1	6717660	6717912
chr1	6761504	6762256
chr1	6780788	6781002
chr1	6787633	6787930
chr1	6803583	6803790
chr1	6805226	6805556
chr1	6839164	6839664
chr1	6844529	6845611
chr1	6846011	6846202
chr1	6858270	6858632
chr1	6888395	6888616
chr1	6950128	6950304
chr1	7022758	7023202
chr1	7088140	7088307
chr1	7102977	7103157
chr1	7441380	7441873
chr1	7472278	7472525
chr1	7609453	7610010
chr1	7658634	7659060
chr1	7727717	7727975
chr1	7740366	7740777
chr1	7764549	7764961
chr1	7787233	7787462
chr1	7804235	7804470
chr1	7831041	7831924
chr1	7843871	7844483
chr1	7962798	7963051
chr1	7990769	7991447
chr1	7994492	7994651
chr1	8000842	8001383
chr1	8009035	8009526
chr1	8014050	8014637
chr1	8021019	8022249
chr1	8042436	8042640
chr1	8085972	8086657
chr1	8105195	8105411
chr1	8120935	8121119
chr1	8126854	8127095
chr1	8156818	8157767
chr1	8173439	8173809
chr1	8190739	8190931
chr1	8212658	8213736
chr1	8229592	8230206
chr1	8242301	8242953
chr1	8300961	8301247
chr1	8320771	8320983
chr1	8343250	8343605
chr1	8344391	8344693
chr1	8378062	8378540
chr1	8392635	8392842
chr1	8409029	8409290
chr1	8443049	8443423
chr1	8448398	8448650
chr1	8454877	8455215
chr1	8455499	8455979
chr1	8456931	8458142
chr1	8469019	8469192
chr1	8469197	8469484
chr1	8483973	8484870
chr1	8490763	8491355
chr1	8493671	8493858
chr1	8531920	8532095
chr1	8532709	8533094
chr1	8537284	8537844
chr1	8556096	8556350
chr1	8570226	8570799
chr1	8585372	8586448
chr1	8592717	8592932
chr1	8593313	8593637
chr1	8600617	8601197
chr1	8615758	8615947
chr1	8620576	8621501
chr1	8663110	8663287
chr1	8663898	8664613
chr1	8683814	8683993
chr1	8689625	8690310
chr1	8709125	8709563
chr1	8711335	8711568
chr1	8730059	8730226
chr1	8739352	8739695
chr1	8742270	8742427
chr1	8761168	8761990
chr1	8763241	8763670
chr1	8772740	8772984
chr1	8786725	8787142
chr1	8812330	8812735
chr1	8835072	8835282
chr1	8837711	8837872
chr1	8854041	8854209
chr1	8877190	8878203
chr1	8884866	8885133
chr1	8902364	8902747
chr1	8916617	8916839
chr1	8919509	8919856
chr1	8922671	8922881
chr1	8938040	8939536
chr1	8959863	8960490
chr1	8978228	8978398
chr1	8989659	8989821
chr1	9006735	9006897
chr1	9031005	9031573
chr1	9047857	9048325
chr1	9064857	9065405
chr1	9103931	9104207
chr1	9170939	9171185
chr1	9182233	9182464
chr1	9188567	9189954
chr1	9241439	9241731
chr1	9256442	9256697
chr1	9261932	9262155
chr1	9294185	9295162
chr1	9299850	9300140
chr1	9327103	9327489
chr1	9335704	9335953
chr1	9337486	9337730
chr1	9352677	9353476
